codigo_pdv;nome_pdv;razao_social;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
2801;S02801 - HAVAN - RUA PRINCIPAL ELIANE MOTTA - 1787 - SAO JOSE - SC;;RUA PRINCIPAL ELIANE MOTTA, 1787;BELA VISTA;SAO JOSE;SC;88110840;-275.653.121;-486.156.076;2026-02-09 21:05:02.063994+00;HAVAN
9590;S09590 - ANGELONI - AVENIDA DOUTOR NEREU RAMOS - 439 - SAO FRANCISCO DO SUL - SC;;AVENIDA DOUTOR NEREU RAMOS, 439;;SAO FRANCISCO DO SUL;SC;89240000;-2.625.539;-4.864.327;2026-02-09 21:05:01.947218+00;ANGELONI
2984;S02984 - HAVAN - NORTE SHOPPING BLUMENAU - BLUMENAU - SC;;RODOVIA BR 470, 3000;SALTO DO NORTE;BLUMENAU;SC;89065800;-2.687.555;-4.911.819;2026-02-09 21:05:02.063994+00;HAVAN
83870;S83870 - COLOMBO - AV AV VEREADOR SILVIO ALVES - 1188 - PAICANDU - PR;;AVENIDA AVENIDA VEREADOR SILVIO ALVES, 1188,;;PAICANDU;PR;87140000;-2.344.988;-520.336;2026-02-09 21:05:02.694969+00;COLOMBO
34152;S34152 - COLOMBO - PRACA NEREU RAMOS - 372 - CRICIUMA - SC;;PRACA NEREU RAMOS, 372;CENTRO;CRICIUMA;SC;88801500;-2.867.854;-4.936.925;2026-02-09 21:05:01.947218+00;COLOMBO
80936;S80936 - COLOMBO - AVENIDA AVENIDA GENERAL FLORES DA CUNHA - 661 - SINIMBU - RS;;AVENIDA AVENIDA GENERAL FLORES DA CUNHA, 661;;SINIMBU;RS;96890000;-2.953.626;-5.251.903;2026-02-09 21:05:02.063994+00;COLOMBO
345;S00345 - HAVAN - AVENIDA BRASIL - 6986 - CASCAVEL - PR;;AVENIDA BRASIL, 6986;CENTRO;CASCAVEL;PR;85810000;-249.547;-5.346.513;2026-02-09 21:05:02.694969+00;HAVAN
39538;S39538 - COLOMBO - AVENIDA CAVALHADA - 2980 - PORTO ALEGRE - RS;;AVENIDA CAVALHADA, 2980;CAVALHADA;PORTO ALEGRE;RS;91740000;-3.010.243;-5.123.089;2026-02-09 21:05:01.947218+00;COLOMBO
73131;S73131 - COLOMBO - RUA SANTA CATARINA - 1183 - JOINVILLE - SC;;RUA SANTA CATARINA, 1183;FLORESTA;JOINVILLE;SC;89211307;-2.633.319;-4.884.732;2026-02-09 21:05:02.576155+00;COLOMBO
8168;S08168 - HAVAN - ROD PA 275 - 1949 - PARAUAPEBAS - PA;;RODOVIA PA 275 KM 61, SN;CARAJAS;PARAUAPEBAS;PA;68515000;-606.586;-4.991.029;2026-02-09 21:05:02.384876+00;HAVAN
